Cholera,A00-Cholera
"Lymská choroba - včasná diseminovaná infekcia, kožná forma",A69.21-Lymská choroba - včasná diseminovaná inf
Lymská choroba - včasná neuroborelióza,A69.22-Lymská choroba - včasná neuroborelióza
Lymská karditída,A69.23-Lymská karditída
Lymská artritída,A69.24-Lymská artritída
Lymská choroba - očná forma,A69.25-Lymská choroba - očná forma
Lymská choroba - chronická neuroborelióza,A69.26-Lymská choroba - chronická neuroborelióz
Lymská choroba - Acrodermatitis chronica atroficans,A69.27-Lymská choroba - Acrodermatitis chronica
Iná Lymská choroba,A69.29-Iná Lymská choroba
"Iná infekcia zapríčinená spirochétami, bližšie určená",A69.8-Iná infekcia zapríčinená spirochétami, b
"Infekcia zapríčinená spirochétami, bližšie neurčená",A69.9-Infekcia zapríčinená spirochétami, bližš
Infekcia zapríčinená Chlamydia psittaci,A70-Infekcia zapríčinená Chlamydia psittaci
Trachóm,A71-Trachóm
"Trachóm, začiatočné štádium",A71.0-Trachóm, začiatočné štádium
"Trachóm, aktívne štádium",A71.1-Trachóm, aktívne štádium
"Trachóm, bližšie neurčený",A71.9-Trachóm, bližšie neurčený
Iná choroba zapríčinená chlamýdiami,A74-Iná choroba zapríčinená chlamýdiami
Chlamýdiová dilatačná kardiomyopatia,A74.81-Chlamýdiová dilatačná kardiomyopatia
Chlamýdiová myokarditída,A74.82-Chlamýdiová myokarditída
Chlamýdiová endokarditída,A74.83-Chlamýdiová endokarditída
Chlamýdiová artritída,A74.84-Chlamýdiová artritída
Iná chlamýdiová choroba,A74.89-Iná chlamýdiová choroba
"Chlamýdiová infekcia, bližšie neurčená",A74.9-Chlamýdiová infekcia, bližšie neurčená
Škvrnitý týfus,A75-Škvrnitý týfus
Škvrnitý týfus prenášaný všami zapríčinený Rickettsia prowazeki,A75.0-Škvrnitý týfus prenášaný všami zapríčine
Návratný škvrnitý týfus [Brillova choroba],A75.1-Návratný škvrnitý týfus [Brillova chorob
Škvrnitý týfus zapríčinený Rickettsia typhi [Riketsia mooseri],A75.2-Škvrnitý týfus zapríčinený Rickettsia ty
Škvrnitý týfus zapríčinený Rickettsia tsutsugamushi [Rickettsia orientalis],A75.3-Škvrnitý týfus zapríčinený Rickettsia ts
"Škvrnitý týfus, bližšie neurčený",A75.9-Škvrnitý týfus, bližšie neurčený
Škvrnité horúčky [Riketsiózy prenášané kliešťami],A77-Škvrnité horúčky [Riketsiózy prenášané k
Škvrnitá horúčka zapríčinená Rickettsia rickettsii,A77.0-Škvrnitá horúčka zapríčinená Rickettsia 
Škvrnitá horúčka zapríčinená Rickettsia conorii,A77.1-Škvrnitá horúčka zapríčinená Rickettsia 
Škvrnitá horúčka zapríčinená Rickettsia sibirica,A77.2-Škvrnitá horúčka zapríčinená Rickettsia 
Škvrnitá horúčka zapríčinená Rickettsia australis,A77.3-Škvrnitá horúčka zapríčinená Rickettsia 
Iná škvrnitá horúčka,A77.8-Iná škvrnitá horúčka
"Škvrnitá horúčka, bližšie neurčená",A77.9-Škvrnitá horúčka, bližšie neurčená
Q-horúčka,A78-Q-horúčka
Iné riketsiózy,A79-Iné riketsiózy
Volynská (zákopová) horúčka,A79.0-Volynská (zákopová) horúčka
Riketsiové kiahne zapríčinené Rickettsia akari,A79.1-Riketsiové kiahne zapríčinené Rickettsia
"Iná riketsióza, bližšie určená",A79.8-Iná riketsióza, bližšie určená
"Riketsióza, bližšie neurčená",A79.9-Riketsióza, bližšie neurčená
Akútna poliomyelitída,A80-Akútna poliomyelitída
Akútna paralytická poliomyelitída spojená s očkovaním,A80.0-Akútna paralytická poliomyelitída spojen
Akútna paralytická poliomyelitída zapríčinená importovaným divým vírusom,A80.1-Akútna paralytická poliomyelitída zapríč
Akútna paralytická poliomyelitída zapríčinená domácim divým vírusom,A80.2-Akútna paralytická poliomyelitída zapríč
"Iná akútna paralytická poliomyelitída, bližšie neurčená",A80.3-Iná akútna paralytická poliomyelitída, b
Akútna neparalytická poliomyelitída,A80.4-Akútna neparalytická poliomyelitída
"Akútna poliomyelitída, bližšie neurčená",A80.9-Akútna poliomyelitída, bližšie neurčená
Pomalá vírusová infekcia centrálnej nervovej sústavy,A81-Pomalá vírusová infekcia centrálnej nerv
Creutzfeldtova-Jakobova choroba,A81.0-Creutzfeldtova-Jakobova choroba
Subakútna sklerotizujúca panencefalitída,A81.1-Subakútna sklerotizujúca panencefalitída
Progresívna multifokálna leukoencefalopatia,A81.2-Progresívna multifokálna leukoencefalopa
Iná pomalá vírusová infekcia centrálnej nervovej sústavy,A81.8-Iná pomalá vírusová infekcia centrálnej 
"Pomalá vírusová infekcia centrálnej nervovej sústavy, bližšie neurčená",A81.9-Pomalá vírusová infekcia centrálnej nerv
"Besnota [rabies, lyssa]",A82-Besnota [rabies, lyssa]
"Besnota, lesný typ",A82.0-Besnota, lesný typ
"Besnota, mestský typ",A82.1-Besnota, mestský typ
"Besnota, bližšie neurčená",A82.9-Besnota, bližšie neurčená
"Vírusová encefalitída, prenášaná komármi",A83-Vírusová encefalitída, prenášaná komármi
Japonská encefalitída,A83.0-Japonská encefalitída
Západná encefalitída koní,A83.1-Západná encefalitída koní
Východná encefalitída koní,A83.2-Východná encefalitída koní
Saintlouiská encefalitída,A83.3-Saintlouiská encefalitída
Austrálska encefalitída,A83.4-Austrálska encefalitída
Kalifornská encefalitída,A83.5-Kalifornská encefalitída
Encefalitída zapríčinená vírusom Rocio,A83.6-Encefalitída zapríčinená vírusom Rocio
Iná vírusová encefalitída prenášaná komármi,A83.8-Iná vírusová encefalitída prenášaná komá
"Vírusová encefalitída prenášaná komármi, bližšie neurčená",A83.9-Vírusová encefalitída prenášaná komármi,
Vírusová encefalitída prenášaná kliešťami,A84-Vírusová encefalitída prenášaná kliešťam
Kliešťová encefalitída Ďalekého východu [ruská jarno-letná encefalitída],A84.0-Kliešťová encefalitída Ďalekého východu 
Stredoeurópska kliešťová encefalitída,A84.1-Stredoeurópska kliešťová encefalitída
Iná vírusová encefalitída prenášaná kliešťami,A84.8-Iná vírusová encefalitída prenášaná klie
"Vírusová encefalitída prenášaná kliešťami, bližšie neurčená",A84.9-Vírusová encefalitída prenášaná kliešťam
"Iná vírusová encefalitída, nezatriedená inde",A85-Iná vírusová encefalitída, nezatriedená 
"Vírusová encefalitída prenášaná článkonožcami, bližšie neurčená",A85.2-Vírusová encefalitída prenášaná článkono
"Iná vírusová encefalitída, bližšie určená",A85.8-Iná vírusová encefalitída, bližšie určen
"Vírusová encefalitída, bližšie neurčená",A86-Vírusová encefalitída, bližšie neurčená
Vírusová meningitída,A87-Vírusová meningitída
Lymfocytová choriomeningitída,A87.2-Lymfocytová choriomeningitída
Iná vírusová meningitída,A87.8-Iná vírusová meningitída
"Vírusová meningitída, bližšie neurčená",A87.9-Vírusová meningitída, bližšie neurčená
"Iná vírusová infekcia centrálnej nervovej sústavy, nezatriedená inde",A88-Iná vírusová infekcia centrálnej nervove
Enterovírusová exantémová horúčka [Bostonský exantém],A88.0-Enterovírusová exantémová horúčka [Bosto
Epidemické vertigo,A88.1-Epidemické vertigo
"Iná vírusová infekcia centrálnej nervovej sústavy, bližšie určená",A88.8-Iná vírusová infekcia centrálnej nervove
"Vírusová infekcia centrálnej nervovej sústavy, bližšie neurčená",A89-Vírusová infekcia centrálnej nervovej sú
Horúčka dengue [klasická dengue],A90-Horúčka dengue [klasická dengue]
Hemoragická horúčka dengue,A91-Hemoragická horúčka dengue
Iná vírusová horúčka prenášaná komármi,A92-Iná vírusová horúčka prenášaná komármi
Vírusová choroba Chikungunya,A92.0-Vírusová choroba Chikungunya
Horúčka O'nyong-nyong,A92.1-Horúčka O'nyong-nyong
Venezuelská horúčka koní,A92.2-Venezuelská horúčka koní
Horúčka Západného Nílu,A92.3-Horúčka Západného Nílu
Horúčka Riftského údolia,A92.4-Horúčka Riftského údolia
"Iná vírusová horúčka prenášaná komármi, bližšie určená",A92.8-Iná vírusová horúčka prenášaná komármi, 
"Vírusová horúčka prenášaná komármi, bližšie neurčená",A92.9-Vírusová horúčka prenášaná komármi, bliž
"Iná vírusová horúčka prenášaná článkonožcami, nezatriedená inde",A93-Iná vírusová horúčka prenášaná článkonož
Choroba zapríčinená vírusom Oropouche,A93.0-Choroba zapríčinená vírusom Oropouche
Horúčka papatači (prenášaná piesočnými muchami) [sandfly fever],A93.1-Horúčka papatači (prenášaná piesočnými m
Koloradská kliešťová horúčka,A93.2-Koloradská kliešťová horúčka
"Iná vírusová horúčka prenášaná článkonožcami, bližšie určená",A93.8-Iná vírusová horúčka prenášaná článkonož
"Vírusová horúčka prenášaná článkonožcami, bližšie neurčená",A94-Vírusová horúčka prenášaná článkonožcami
Žltá zimnica,A95-Žltá zimnica
"Žltá zimnica, lesný typ",A95.0-Žltá zimnica, lesný typ
"Žltá zimnica, mestský typ",A95.1-Žltá zimnica, mestský typ
"Žltá zimnica, bližšie neurčená",A95.9-Žltá zimnica, bližšie neurčená
Arenavírusová hemoragická horúčka,A96-Arenavírusová hemoragická horúčka
Hemoragická horúčka zapríčinená vírusom Junin,A96.0-Hemoragická horúčka zapríčinená vírusom 
Hemoragická horúčka zapríčinená vírusom Machupo,A96.1-Hemoragická horúčka zapríčinená vírusom 
Horúčka Lassa,A96.2-Horúčka Lassa
Iná arenavírusová hemoragická horúčka,A96.8-Iná arenavírusová hemoragická horúčka
"Arenavírusová hemoragická horúčka, bližšie neurčená",A96.9-Arenavírusová hemoragická horúčka, bližš
"Iná vírusová hemoragická horúčka, nezatriedená inde",A98-Iná vírusová hemoragická horúčka, nezatr
Krymsko-konžská hemoragická horúčka,A98.0-Krymsko-konžská hemoragická horúčka
Omská hemoragická horúčka,A98.1-Omská hemoragická horúčka
Horúčka Kyasanurského lesa,A98.2-Horúčka Kyasanurského lesa
Choroba zapríčinená vírusom Marburg,A98.3-Choroba zapríčinená vírusom Marburg
Choroba zapríčinená vírusom Ebola,A98.4-Choroba zapríčinená vírusom Ebola
Hemoragická horúčka s renálnym syndrómom,A98.5-Hemoragická horúčka s renálnym syndrómom
"Iná vírusová hemoragická horúčka, bližšie určená",A98.8-Iná vírusová hemoragická horúčka, bližši
"Vírusová hemoragická horúčka, bližšie neurčená",A99-Vírusová hemoragická horúčka, bližšie ne
Infekcia herpetickým vírusom [Herpes simplex],B00-Infekcia herpetickým vírusom [Herpes sim
Herpetický ekzém,B00.0-Herpetický ekzém
Herpetická vezikulárna dermatitída,B00.1-Herpetická vezikulárna dermatitída
Herpetická gingivostomatitída a tonzilofaryngitída,B00.2-Herpetická gingivostomatitída a tonzilof
Očná infekcia herpetickým vírusom,B00.5-Očná infekcia herpetickým vírusom
Diseminovaná herpetická choroba,B00.7-Diseminovaná herpetická choroba
Iná forma herpetickej infekcie,B00.8-Iná forma herpetickej infekcie
"Herpetická infekcia, bližšie neurčená",B00.9-Herpetická infekcia, bližšie neurčená
Ovčie kiahne [Varicella],B01-Ovčie kiahne [Varicella]
Varicela s inými komplikáciami,B01.8-Varicela s inými komplikáciami
Varicela bez komplikácií,B01.9-Varicela bez komplikácií
"Pásový opar [Herpes zoster, Zoster]",B02-Pásový opar [Herpes zoster, Zoster]
Zosterová choroba oka,B02.3-Zosterová choroba oka
Diseminovaný zoster,B02.7-Diseminovaný zoster
Zoster s inými komplikáciami,B02.8-Zoster s inými komplikáciami
Zoster bez komplikácií,B02.9-Zoster bez komplikácií
Kiahne [Variola],B03-Kiahne [Variola]
Opičie kiahne,B04-Opičie kiahne
Osýpky [Morbilli],B05-Osýpky [Morbilli]
Osýpky s črevnými komplikáciami,B05.4-Osýpky s črevnými komplikáciami
Osýpky s inými komplikáciami,B05.8-Osýpky s inými komplikáciami
Osýpky bez komplikácií,B05.9-Osýpky bez komplikácií
Ružienka [Rubeola],B06-Ružienka [Rubeola]
Ružienka s inými komplikáciami,B06.8-Ružienka s inými komplikáciami
Ružienka bez komplikácií,B06.9-Ružienka bez komplikácií
Vírusové bradavice [Verrucae],B07-Vírusové bradavice [Verrucae]
"Iná vírusové infekcie charakterizované postihnutím kože a slizníc, nezatriedené inde",B08-Iná vírusové infekcie charakterizované p
Iné ortopoxvírusové infekcie,B08.0-Iné ortopoxvírusové infekcie
Kontagiózne bradavice [Molluscum contagiosum],B08.1-Kontagiózne bradavice [Molluscum contagi
Exanthema subitum [Šiesta choroba],B08.2-Exanthema subitum [Šiesta choroba]
Erythema infectiosum [Piata choroba],B08.3-Erythema infectiosum [Piata choroba]
Enterovírusová vezikulárna stomatitída s exantémom,B08.4-Enterovírusová vezikulárna stomatitída s
Enterovírusová vezikulárna faryngitída,B08.5-Enterovírusová vezikulárna faryngitída
"Iná vírusová infekcia charakterizovaná postihnutím kože a slizníc, bližšie určená",B08.8-Iná vírusová infekcia charakterizovaná p
"Vírusová infekcia charakterizovaná postihnutím kože a slizníc, bližšie neurčená",B09-Vírusová infekcia charakterizovaná posti
Akútna hepatitída A,B15-Akútna hepatitída A
Akútna hepatitída A s pečeňovou kómou,B15.0-Akútna hepatitída A s pečeňovou kómou
Akútna hepatitída A bez pečeňovej kómy,B15.9-Akútna hepatitída A bez pečeňovej kómy
Akútna hepatitída B,B16-Akútna hepatitída B
"Akútna hepatitída B s Delta vírusom (koinfekcia), s pečeňovou kómou",B16.0-Akútna hepatitída B s Delta vírusom (koi
"Akútna hepatitída B s Delta vírusom (koinfekcia), bez pečeňovej kómy",B16.1-Akútna hepatitída B s Delta vírusom (koi
"Akútna hepatitída B bez Delta vírusu, s pečeňovou kómou",B16.2-Akútna hepatitída B bez Delta vírusu, s 
"Akútna hepatitída B bez Delta vírusu, bez pečeňovej kómy",B16.9-Akútna hepatitída B bez Delta vírusu, be
Iná akútna vírusová hepatitída,B17-Iná akútna vírusová hepatitída
Akútna Delta-vírusová (super)infekcia nosiča vírusu hepatitídy B,B17.0-Akútna Delta-vírusová (super)infekcia no
Akútna hepatitída C,B17.1-Akútna hepatitída C
Akútna hepatitída E,B17.2-Akútna hepatitída E
"Iná akútna vírusová hepatitída, bližšie určená",B17.8-Iná akútna vírusová hepatitída, bližšie 
"Akútna vírusová hepatitída, bližšie neurčená",B17.9-Akútna vírusová hepatitída, bližšie neur
Chronická vírusivá hepatitída,B18-Chronická vírusivá hepatitída
Chronická hepatitída B s Delta vírusom,B18.0-Chronická hepatitída B s Delta vírusom
Chronická hepatitída B bez Delta vírusu,B18.1-Chronická hepatitída B bez Delta vírusu
Chronická hepatitída C,B18.2-Chronická hepatitída C
Iná chronická vírusová hepatitída,B18.8-Iná chronická vírusová hepatitída
"Chronická vírusová hepatitída, bližšie neurčená",B18.9-Chronická vírusová hepatitída, bližšie n
"Vírusová hepatitída, bližšie neurčená",B19-Vírusová hepatitída, bližšie neurčená
"Vírusová hepatitída s pečeňovou kómou, bližšie neurčená",B19.0-Vírusová hepatitída s pečeňovou kómou, b
"Vírusová hepatitída bez pečeňovej kómy, bližšie neurčená",B19.9-Vírusová hepatitída bez pečeňovej kómy, 
Choroba HIV s následnými infekčnými a parazitovými chorobami,B20-Choroba HIV s následnými infekčnými a pa
Choroba HIV s následnými mykobakteriovými infekciami,B20.0-Choroba HIV s následnými mykobakteriovým
Choroba HIV s následnými inými bakteriovými infekciami,B20.1-Choroba HIV s následnými inými bakteriov
Choroba HIV s následnou cytomegalovírusovou chorobou,B20.2-Choroba HIV s následnou cytomegalovíruso
Choroba HIV s následnými inými vírusovými infekciami,B20.3-Choroba HIV s následnými inými vírusovým
Choroba HIV s následnými kandidózami,B20.4-Choroba HIV s následnými kandidózami
Choroba HIV s následnými inými mykózami,B20.5-Choroba HIV s následnými inými mykózami
Choroba HIV s následnou pneumocystovou pneumóniou,B20.6-Choroba HIV s následnou pneumocystovou p
Choroba HIV s následnými viacpočetnými infekciami,B20.7-Choroba HIV s následnými viacpočetnými i
Choroba HIV s následnými inými infekčnými a parazitovými chorobami bližšie určenými,B20.8-Choroba HIV s následnými inými infekčným
Choroba HIV s následnými infekčnými alebo parazitovými chorobami bližšie neurčenými,B20.9-Choroba HIV s následnými infekčnými aleb
Choroba HIV s následnými zhubnými nádormi,B21-Choroba HIV s následnými zhubnými nádorm
Choroba HIV s následným Kaposiho sarkómom,B21.0-Choroba HIV s následným Kaposiho sarkómo
Choroba HIV s následným Burkittovým lymfómom,B21.1-Choroba HIV s následným Burkittovým lymf
Choroba HIV s následnými inými typmi nehodgkinovho lymfómu,B21.2-Choroba HIV s následnými inými typmi neh
Choroba HIV s následnými inými zhubnými nádormi lymfatického krvotvorného a príbuzného tkaniva,B21.3-Choroba HIV s následnými inými zhubnými 
Choroba HIV s následnými viacpočetnými zhubnými nádormi,B21.7-Choroba HIV s následnými viacpočetnými z
Choroba HIV s následnými inými zhubnými nádormi,B21.8-Choroba HIV s následnými inými zhubnými 
